Actual,Predicted
2579.81,2579.8100000000013
4639.6,4639.5999999999985
2265.92,2265.9200000000005
10308.17,10308.169999999998
512.75,512.7499999999986
93.7,93.70000000000164
513.95,513.9499999999994
9359.91,9359.91
3731.93,3731.93
1910.17,1910.17
568.13,568.1300000000006
1564.14,1564.14
7013.48,7013.479999999999
1595.69,1595.6900000000003
847.3399999999999,847.3399999999997
4270.110000000001,4270.1100000000015
186.75,186.74999999999818
1395.99,1395.9900000000016
6797.92,6797.919999999996
2351.6000000000004,2351.5999999999995
3250.62,3250.6200000000003
3641.21,3641.210000000001
8019.32,8019.320000000001
11541.94,11541.940000000002
3676.0,3675.9999999999977
1904.58,1904.5800000000004
810.88,810.880000000001
4135.5,4135.499999999998
232.07,232.06999999999925
2254.3,2254.2999999999993
462.14,462.14000000000306
1508.0,1508.0000000000011
11484.87,11484.869999999999
5625.32,5625.319999999998
4634.25,4634.250000000002
41.5,41.499999999999545
4173.02,4173.02
2330.73,2330.7300000000014
20.75,20.749999999998636
5698.4,5698.4
3281.69,3281.69
884.42,884.4200000000001
2757.0,2757.0000000000005
247.03,247.0299999999993
2234.15,2234.1499999999996
62.25,62.249999999998636
4068.32,4068.32
1142.85,1142.850000000003
803.7099999999999,803.71
2169.78,2169.78
1036.38,1036.380000000001
6859.5,6859.499999999999
8517.33,8517.329999999998
2359.23,2359.229999999999
844.83,844.8300000000031
4838.45,4838.449999999999
4055.97,4055.969999999999
2697.28,2697.2799999999997
3368.49,3368.4899999999993
9117.44,9117.439999999999
62.25,62.24999999999818
4649.990000000001,4649.989999999999
3164.76,3164.7600000000007
734.34,734.3400000000029
530.61,530.6099999999997
1473.17,1473.17
166.0,165.99999999999955
1595.19,1595.190000000003
1655.66,1655.6600000000024
471.78,471.77999999999975
7611.62,7611.619999999998
833.34,833.3400000000015
516.13,516.130000000001
4640.99,4640.990000000001
201.38,201.37999999999784
1648.52,1648.5200000000023
5942.370000000001,5942.37
4747.14,4747.139999999999
3181.9,3181.900000000002
